stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\projects\MathWay\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.10902] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10915] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10926] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10936] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10947] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10959] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10970] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10984] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.10996] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11008] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.11019] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11044] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11054] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11065] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11078] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11098] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11110] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11118] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11126] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11135] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11146] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11155] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11164] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11175] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11183] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11193] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11208] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11217] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11229] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11239] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11248] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11257] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11265] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11275] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11283] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11291] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11300] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11309] Single Buffer requirement not met.
